Strategy,MAE,RMSE,R2,Baseline_R2,R2_Improvement
Two-Stage Active,258.65304824047075,441.7240964649812,-0.04957818590529195,-0.023854575335100714,-0.025723610570191235
Oversampled,211.97562273438248,709.9767077460074,-0.08149904002326047,-0.10520815871970113,0.023709118696440656
All Customers,209.9779198953924,711.4923566563295,-0.08612150852371347,-0.007841379410375549,-0.07828012911333793
Active Only,168.46139359437606,458.0441257300391,-0.12856674612732966,-0.023854575335100714,-0.10471217079222894
Spenders Only,717.261978387927,1321.230686899946,-0.1940283670551437,-0.011384461073546293,-0.1826439059815974
Bucket Classification,247.60396135265702,567.0405688150767,-0.7295808845562759,-0.023854575335100714,-0.7057263092211752
