feature,importance
total_monetary,0.23859931551929262
total_frequency,0.13702993843185818
avg_order_value,0.13560572432202248
total_loyalty_points,0.08144814939760199
recency_days,0.07619366993211849
avg_days_between_purchases,0.0698106703969646
num_stores_visited,0.058661846526362416
customer_tenure_days,0.058275419793612435
top_category_encoded,0.0425017012686236
monetary_90d,0.03768447251629561
monetary_60d,0.02577072555635029
num_categories,0.019188944177151605
segment_id_encoded,0.010767389451760331
loyalty_status_encoded,0.004844289186630797
is_weekend_shopper,0.0036177435233546405
monetary_30d,0.0
frequency_90d,0.0
frequency_30d,0.0
frequency_60d,0.0
