feature,importance
total_monetary,0.1372920859119532
total_loyalty_points,0.13526294456958107
customer_tenure_days,0.10124117832028369
avg_days_between_purchases,0.09318964551905547
avg_order_value,0.08987664115716795
total_frequency,0.08509282999931216
recency_days,0.0847941965330561
num_stores_visited,0.055932485843117295
monetary_90d,0.04723535057376659
monetary_60d,0.03881422009107242
top_category_encoded,0.03242476775306778
monetary_30d,0.028462157656432317
segment_id_encoded,0.022159976209658802
num_categories,0.014512439787935953
loyalty_status_encoded,0.009924306335538424
frequency_60d,0.009019898621915236
frequency_30d,0.006592488474908997
frequency_90d,0.005020399400591592
is_weekend_shopper,0.00315198724158502
