Model,MAE,RMSE,R2_Original,MAE_Improvement_%
Zero Predictor,208.54264851485146,713.8429446190707,-0.09330989610942297,0.0
Mean Predictor,300.1098427080173,685.3732099253059,-0.007841379410375549,-43.908138141174916
Conditional Mean,300.1098427080173,685.3732099253059,-0.007841379410375549,-43.908138141174916
Two-Stage (Prob-Weighted),270.8115755006544,677.0250832153469,0.01656093729765662,-29.859085146014348
Two-Stage (Threshold),208.65169453986732,709.318764141366,-0.07949549353750118,-0.05228955601764661
